"fecha","indicador","valor"
"1863-03-01","anomalia_temperatura_deg_c","-0.21599"
"1863-04-01","anomalia_temperatura_deg_c","-0.24056"
"1863-05-01","anomalia_temperatura_deg_c","-0.44893"
"1863-06-01","anomalia_temperatura_deg_c","-0.40003"
"1863-07-01","anomalia_temperatura_deg_c","-0.32561"
"1863-08-01","anomalia_temperatura_deg_c","-0.31664"
"1863-09-01","anomalia_temperatura_deg_c","-0.41119"
"1863-10-01","anomalia_temperatura_deg_c","-0.25653"
"1863-11-01","anomalia_temperatura_deg_c","-0.35723"
"1863-12-01","anomalia_temperatura_deg_c","-0.27198"
"1864-01-01","anomalia_temperatura_deg_c","-0.63624"
"1864-02-01","anomalia_temperatura_deg_c","-0.57768"
"1864-03-01","anomalia_temperatura_deg_c","-0.52768"
"1864-04-01","anomalia_temperatura_deg_c","-0.44513"
"1864-05-01","anomalia_temperatura_deg_c","-0.22121"
"1864-06-01","anomalia_temperatura_deg_c","-0.29662"
"1864-07-01","anomalia_temperatura_deg_c","-0.20696"
"1864-08-01","anomalia_temperatura_deg_c","-0.3553"
"1864-09-01","anomalia_temperatura_deg_c","-0.48193"
"1864-10-01","anomalia_temperatura_deg_c","-0.39487"
"1864-11-01","anomalia_temperatura_deg_c","-0.08859"
"1864-12-01","anomalia_temperatura_deg_c","-0.19106"
"1865-01-01","anomalia_temperatura_deg_c","-0.13545"
"1865-02-01","anomalia_temperatura_deg_c","-0.0913"
"1865-03-01","anomalia_temperatura_deg_c","-0.10128"
"1865-04-01","anomalia_temperatura_deg_c","-0.11344"
"1865-05-01","anomalia_temperatura_deg_c","-0.3277"
"1865-06-01","anomalia_temperatura_deg_c","-0.24337"
"1865-07-01","anomalia_temperatura_deg_c","-0.22369"
"1865-08-01","anomalia_temperatura_deg_c","-0.21187"
"1865-09-01","anomalia_temperatura_deg_c","-0.26551"
"1865-10-01","anomalia_temperatura_deg_c","-0.2344"
"1865-11-01","anomalia_temperatura_deg_c","-0.37474"
"1865-12-01","anomalia_temperatura_deg_c","-0.2359"
"1866-01-01","anomalia_temperatura_deg_c","-0.246"
"1866-02-01","anomalia_temperatura_deg_c","-0.03243"
"1866-03-01","anomalia_temperatura_deg_c","-0.42051"
"1866-04-01","anomalia_temperatura_deg_c","-0.31759"
"1866-05-01","anomalia_temperatura_deg_c","-0.37466"
"1866-06-01","anomalia_temperatura_deg_c","0.0086"
"1866-07-01","anomalia_temperatura_deg_c","-0.06607"
"1866-08-01","anomalia_temperatura_deg_c","-0.18931"
"1866-09-01","anomalia_temperatura_deg_c","-0.34326"
"1866-10-01","anomalia_temperatura_deg_c","-0.09531"
"1866-11-01","anomalia_temperatura_deg_c","-0.0837"
"1866-12-01","anomalia_temperatura_deg_c","-0.33273"
"1867-01-01","anomalia_temperatura_deg_c","-0.16111"
"1867-02-01","anomalia_temperatura_deg_c","-0.25903"
"1867-03-01","anomalia_temperatura_deg_c","-0.05943"
"1867-04-01","anomalia_temperatura_deg_c","-0.10698"
"1867-05-01","anomalia_temperatura_deg_c","-0.18413"
"1867-06-01","anomalia_temperatura_deg_c","-0.29537"
"1867-07-01","anomalia_temperatura_deg_c","-0.19411"
"1867-08-01","anomalia_temperatura_deg_c","-0.28975"
"1867-09-01","anomalia_temperatura_deg_c","-0.10205"
"1867-10-01","anomalia_temperatura_deg_c","-0.15559"
"1867-11-01","anomalia_temperatura_deg_c","-0.20375"
"1867-12-01","anomalia_temperatura_deg_c","-0.45767"
"1868-01-01","anomalia_temperatura_deg_c","-0.37892"
"1868-02-01","anomalia_temperatura_deg_c","-0.23183"
"1868-03-01","anomalia_temperatura_deg_c","-0.00957"
"1868-04-01","anomalia_temperatura_deg_c","-0.15947"
"1868-05-01","anomalia_temperatura_deg_c","-0.26325"
"1868-06-01","anomalia_temperatura_deg_c","-0.46224"
"1868-07-01","anomalia_temperatura_deg_c","-0.12318"
"1868-08-01","anomalia_temperatura_deg_c","-0.19507"
"1868-09-01","anomalia_temperatura_deg_c","-0.15602"
"1868-10-01","anomalia_temperatura_deg_c","-0.27803"
"1868-11-01","anomalia_temperatura_deg_c","-0.16437"
"1868-12-01","anomalia_temperatura_deg_c","-0.17127"
"1869-01-01","anomalia_temperatura_deg_c","-0.33133"
"1869-02-01","anomalia_temperatura_deg_c","-0.13667"
"1869-03-01","anomalia_temperatura_deg_c","-0.38526"
"1869-04-01","anomalia_temperatura_deg_c","-0.14127"
"1869-05-01","anomalia_temperatura_deg_c","-0.26915"
"1869-06-01","anomalia_temperatura_deg_c","-0.39402"
"1869-07-01","anomalia_temperatura_deg_c","-0.33942"
"1869-08-01","anomalia_temperatura_deg_c","-0.20591"
"1869-09-01","anomalia_temperatura_deg_c","-0.28885"
"1869-10-01","anomalia_temperatura_deg_c","-0.30315"
"1869-11-01","anomalia_temperatura_deg_c","-0.26869"
"1869-12-01","anomalia_temperatura_deg_c","-0.34312"
"1870-01-01","anomalia_temperatura_deg_c","-0.19645"
"1870-02-01","anomalia_temperatura_deg_c","-0.2119"
"1870-03-01","anomalia_temperatura_deg_c","-0.22638"
"1870-04-01","anomalia_temperatura_deg_c","-0.1125"
"1870-05-01","anomalia_temperatura_deg_c","-0.2918"
"1870-06-01","anomalia_temperatura_deg_c","-0.31429"
"1870-07-01","anomalia_temperatura_deg_c","-0.11498"
"1870-08-01","anomalia_temperatura_deg_c","-0.15846"
"1870-09-01","anomalia_temperatura_deg_c","-0.29978"
"1870-10-01","anomalia_temperatura_deg_c","-0.33005"
"1870-11-01","anomalia_temperatura_deg_c","-0.22773"
"1870-12-01","anomalia_temperatura_deg_c","-0.22395"
"1871-01-01","anomalia_temperatura_deg_c","-0.21988"
"1871-02-01","anomalia_temperatura_deg_c","-0.21992"
"1871-03-01","anomalia_temperatura_deg_c","-0.07199"
"1871-04-01","anomalia_temperatura_deg_c","-0.15787"
"1871-05-01","anomalia_temperatura_deg_c","-0.19094"
"1871-06-01","anomalia_temperatura_deg_c","-0.20769"
"1871-07-01","anomalia_temperatura_deg_c","-0.07306"
"1871-08-01","anomalia_temperatura_deg_c","-0.33657"
"1871-09-01","anomalia_temperatura_deg_c","-0.38434"
"1871-10-01","anomalia_temperatura_deg_c","-0.47208"
"1871-11-01","anomalia_temperatura_deg_c","-0.17566"
"1871-12-01","anomalia_temperatura_deg_c","-0.27073"
"1872-01-01","anomalia_temperatura_deg_c","-0.32384"
"1872-02-01","anomalia_temperatura_deg_c","-0.31505"
"1872-03-01","anomalia_temperatura_deg_c","-0.41889"
"1872-04-01","anomalia_temperatura_deg_c","-0.28215"
"1872-05-01","anomalia_temperatura_deg_c","-0.16965"
"1872-06-01","anomalia_temperatura_deg_c","-0.27909"
"1872-07-01","anomalia_temperatura_deg_c","-0.14416"
"1872-08-01","anomalia_temperatura_deg_c","-0.07189"
"1872-09-01","anomalia_temperatura_deg_c","-0.17422"
"1872-10-01","anomalia_temperatura_deg_c","-0.3011"
"1872-11-01","anomalia_temperatura_deg_c","-0.16249"
"1872-12-01","anomalia_temperatura_deg_c","-0.29187"
