"iso3","anio","valor_en_twh"
"MEX","2020","0.2364856"
"MEX","2021","0.35472837"
"MEX","2022","0.4138498"
"NLD","2004","0.06880472"
"NLD","2005","0.034308363"
"NLD","2006","0.2718889"
"NLD","2007","0.9480556"
"NLD","2008","0.9051667"
"NLD","2009","2.816111"
"NLD","2010","4.511413"
"NLD","2011","7.695028"
"NLD","2012","14.698287"
"NLD","2013","17.213945"
"NLD","2014","20.730371"
"NLD","2015","19.810902"
"NLD","2016","17.645191"
"NLD","2017","22.894236"
"NLD","2018","21.969234"
"NLD","2019","23.299513"
"NLD","2020","23.195408"
"NLD","2021","24.061457"
"NLD","2022","24.114965"
"POL","2003","0.34308362"
"POL","2004","0.06880472"
"POL","2005","1.3228952"
"POL","2006","1.7473806"
"POL","2007","1.1637132"
"POL","2008","3.3347955"
"POL","2009","4.697668"
"POL","2010","5.0410247"
"POL","2011","4.7568064"
"POL","2012","7.505673"
"POL","2013","8.02146"
"POL","2014","8.657344"
"POL","2015","9.3839445"
"POL","2016","10.681111"
"POL","2017","10.640032"
"POL","2018","10.500066"
"POL","2019","11.371846"
"POL","2020","11.306278"
"POL","2021","12.020443"
"POL","2022","12.443199"
"PRT","2005","0.010612134"
"PRT","2006","0.81772375"
"PRT","2007","1.8858279"
"PRT","2008","1.732905"
"PRT","2009","2.6254027"
"PRT","2010","3.3028038"
"PRT","2011","3.8410752"
"PRT","2012","3.2053096"
"PRT","2013","3.1913304"
"PRT","2014","3.5031424"
"PRT","2015","3.7294853"
"PRT","2016","3.4632165"
"PRT","2017","3.6766038"
"PRT","2018","3.8038125"
"PRT","2019","4.1115193"
"PRT","2020","3.4916983"
"PRT","2021","3.3248775"
"PRT","2022","3.761316"
"KOR","2002","0.010612134"
"KOR","2003","0.01686995"
"KOR","2004","0.053947262"
"KOR","2005","0.13318573"
"KOR","2006","0.5301919"
"KOR","2007","0.96652466"
"KOR","2008","2.0659766"
"KOR","2009","2.9562182"
"KOR","2010","4.14984"
"KOR","2011","3.9083083"
"KOR","2012","4.1858234"
"KOR","2013","4.2924123"
"KOR","2014","4.5089397"
"KOR","2015","5.132843"
"KOR","2016","5.15045"
"KOR","2017","4.978256"
"KOR","2018","7.9460115"
"KOR","2019","8.137663"
"KOR","2020","8.0242"
"KOR","2021","6.9439006"
"KOR","2022","7.328577"
"ESP","1992","0.0"
"ESP","1993","0.0"
"ESP","1994","0.0"
"ESP","1995","0.0"
"ESP","1996","0.0"
"ESP","1997","0.0"
"ESP","1998","0.0"
"ESP","1999","0.0"
"ESP","2000","0.8512966"
"ESP","2001","0.84897065"
"ESP","2002","1.4820772"
"ESP","2003","2.0904644"
"ESP","2004","2.546627"
"ESP","2005","3.4133594"
"ESP","2006","3.0383132"
"ESP","2007","4.2587085"
"ESP","2008","4.352001"
"ESP","2009","10.473662"
"ESP","2010","11.731279"
"ESP","2011","9.74439"
"ESP","2012","7.081611"
"ESP","2013","8.566668"
"ESP","2014","11.827223"
"ESP","2015","12.883057"
"ESP","2016","13.852012"
"ESP","2017","21.54365"
"ESP","2018","25.122385"
"ESP","2019","24.215782"
"ESP","2020","20.759724"
"ESP","2021","19.141012"
"ESP","2022","19.385002"
"SWE","2001","0.16962355"
"SWE","2002","0.37980092"
"SWE","2003","1.0517359"
"SWE","2004","1.9810077"
"SWE","2005","0.41834274"
"SWE","2006","0.47564375"
"SWE","2007","0.5703469"
"SWE","2008","1.5406611"
"SWE","2009","2.1265109"
"SWE","2010","2.411469"
"SWE","2011","2.2329485"
"SWE","2012","2.649477"
"SWE","2013","2.646395"
"SWE","2014","2.648314"
"SWE","2015","2.544423"
"SWE","2016","2.4066658"
"SWE","2017","2.1583188"
"SWE","2018","4.238693"
"SWE","2019","5.0010166"
"SWE","2020","4.8916016"
"SWE","2021","5.8893976"
"SWE","2022","6.2135935"
"THA","2004","0.03440236"
"THA","2005","0.62394303"
"THA","2006","0.96702665"
"THA","2007","1.6659789"
"THA","2008","6.0350504"
"THA","2009","7.4379945"
"THA","2010","9.69942"
"THA","2011","10.68797"
"THA","2012","14.642171"
"THA","2013","18.71267"
"THA","2014","20.92237"
"THA","2015","22.57383"
"THA","2016","20.259462"
"THA","2017","22.43427"
"THA","2018","24.55093"
"THA","2019","27.458431"
"THA","2020","27.656141"
"THA","2021","24.481152"
"THA","2022","22.398031"
"GBR","2002","0.031836398"
"GBR","2003","0.10612133"
"GBR","2004","0.106412075"
"GBR","2005","0.09173745"
"GBR","2006","2.6513376"
"GBR","2007","4.5208836"
"GBR","2008","3.323238"
"GBR","2009","2.5000198"
"GBR","2010","3.2686234"
"GBR","2011","2.0225036"
