"anio","tipo_energia","valor_en_twh","porcentaje"
"1976","Carbón","18688.486","23.29412399"
"1976","Eólica","0.0","0.0"
"1976","Gas natural","12354.144","15.39873065"
"1976","Hidro","4267.3394","5.318993368"
"1976","Nuclear","1227.7115","1.530271842"
"1976","Otras renovables","120.57106","0.150284898"
"1976","Petróleo","33782.324","42.10772579"
"1976","Solar","0.0","0.0"
"1976","Total","80228.32715","100.0"
"1977","Biocombustibles","18.318535","0.022103536"
"1977","Biomasa tradicional ","9830.0","11.86108844"
"1977","Carbón","19241.3","23.21696449"
"1977","Eólica","0.0","0.0"
"1977","Gas natural","12759.843","15.39629972"
"1977","Hidro","4410.859","5.322236895"
"1977","Nuclear","1528.1375","1.843883421"
"1977","Otras renovables","127.266624","0.153562633"
"1977","Petróleo","34960.312","42.18386087"
"1977","Solar","0.0","0.0"
"1977","Total","82876.03666","100.0"
"1978","Biocombustibles","23.178774","0.026984852"
"1978","Biomasa tradicional ","9886.0","11.5093337"
"1978","Carbón","19457.904","22.65299517"
"1978","Eólica","0.008870971","1.03276e-05"
"1978","Gas natural","13293.952","15.47688952"
"1978","Hidro","4773.711","5.557579697"
"1978","Nuclear","1775.7009","2.067280418"
"1978","Otras renovables","135.02682","0.157198941"
"1978","Petróleo","36550.02","42.55172738"
"1978","Solar","0.0","0.0"
"1978","Total","85895.50236","100.0"
"1979","Biocombustibles","28.023214","0.031639317"
"1979","Biomasa tradicional ","9943.0","11.22604043"
"1979","Carbón","20363.537","22.99123903"
"1979","Eólica","0.017741943","2.00314e-05"
"1979","Gas natural","14118.032","15.93981676"
"1979","Hidro","5012.647","5.659476806"
"1979","Nuclear","1846.8246","2.08513805"
"1979","Otras renovables","144.51552","0.16316374"
"1979","Petróleo","37114.258","41.90346584"
"1979","Solar","0.0","0.0"
"1979","Total","88570.85508","100.0"
"1980","Biocombustibles","32.78612","0.03727946"
"1980","Biomasa tradicional ","10000.0","11.37050077"
"1980","Carbón","20857.61","23.71614705"
"1980","Eólica","0.031048333","3.53035e-05"
"1980","Gas natural","14236.961","16.1881376"
"1980","Hidro","5120.4688","5.822229443"
"1980","Nuclear","2020.0956","2.296949857"
"1980","Otras renovables","153.78857","0.174865305"
"1980","Petróleo","35525.133","40.39385521"
"1980","Solar","0.0","0.0"
"1980","Total","87946.87414","100.0"
"1981","Biocombustibles","29.747923","0.033908283"
"1981","Biomasa tradicional ","10106.0","11.51936231"
"1981","Carbón","21149.68","24.10754271"
"1981","Eólica","0.031048333","3.53906e-05"
"1981","Gas natural","14395.873","16.40919027"
"1981","Hidro","5230.6284","5.962151558"
"1981","Nuclear","2385.6428","2.719283966"
"1981","Otras renovables","164.9076","0.187970551"
"1981","Petróleo","34268.04","39.06055496"
"1981","Solar","0.0","0.0"
"1981","Total","87730.55077","100.0"
"1982","Biocombustibles","37.556244","0.042961348"
"1982","Biomasa tradicional ","10213.0","11.68285747"
"1982","Carbón","21385.451","24.46325036"
"1982","Eólica","0.054704163","6.25772e-05"
"1982","Gas natural","14469.734","16.55222167"
"1982","Hidro","5325.2656","6.091679132"
"1982","Nuclear","2588.3174","2.960828676"
"1982","Otras renovables","191.2329","0.218755186"
"1982","Petróleo","33208.07","37.98738359"
"1982","Solar","0.0","0.0"
"1982","Total","87418.68185","100.0"
"1983","Biocombustibles","49.01924","0.055217586"
